"BSC/RNC/LTE","Cell"
"LTE t4oss","DAU01004A11"
"LTE t4oss","DAU01004A21"
"LTE t4oss","DAU01004A31"
"LTE t4oss","DAU01085F11"
"LTE t4oss","DAU01085F21"
"LTE t4oss","DAU01085F31"
"LTE t4oss","DAU01101E11"
"LTE t4oss","DAU01101E21"
"LTE t4oss","DAU01101E31"
"LTE t4oss","DAU01102D11"
"LTE t4oss","DAU01102D21"
"LTE t4oss","DAU01102D31"
"LTE t4oss","DAU01105E11"
"LTE t4oss","DAU01105E21"
"LTE t4oss","DAU01105E31"
"LTE t4oss","DAU01107A11"
"LTE t4oss","DAU01107A21"
"LTE t4oss","DAU01107A31"
"LTE t4oss","DAU01108B11"
"LTE t4oss","DAU01108B21"
"LTE t4oss","DAU01108B31"
"LTE t4oss","DAU01113F11"
"LTE t4oss","DAU01113F21"
"LTE t4oss","DAU01113F31"
"LTE t4oss","DAU01121B11"
"LTE t4oss","DAU01121B21"
"LTE t4oss","DAU01150A11"
"LTE t4oss","DAU01150A21"
"LTE t4oss","DAU01150A31"
"LTE t4oss","DAU01150A41"
"LTE t4oss","DAU01152A11"
"LTE t4oss","DAU01152A21"
"LTE t4oss","DAU01152A31"
"LTE t4oss","DAU01153A11"
"LTE t4oss","DAU01153A21"
"LTE t4oss","DAU01153A31"
"LTE t4oss","DAU01155A11"
"LTE t4oss","DAU01155A21"
"LTE t4oss","DAU01155A31"
"LTE t4oss","DAU01159A11"
"LTE t4oss","DAU01159A21"
"LTE t4oss","DAU01159A31"
"LTE t4oss","DAU01174A11"
"LTE t4oss","DAU01174A21"
"LTE t4oss","DAU01174A31"
"LTE t4oss","DAU01190A11"
"LTE t4oss","DAU01190A21"
"LTE t4oss","DAU01190A31"
"LTE t4oss","DAU01201A11"
"LTE t4oss","DAU01201A21"
"LTE t4oss","DAU01201A31"
"LTE t4oss","DAU01202E11"
"LTE t4oss","DAU01202E21"
"LTE t4oss","DAU01202E31"
"LTE t4oss","DAU01203A11"
"LTE t4oss","DAU01203A21"
"LTE t4oss","DAU01203A31"
"LTE t4oss","DAU01204F11"
"LTE t4oss","DAU01204F21"
"LTE t4oss","DAU01204F31"
"LTE t4oss","DAU01205B11"
"LTE t4oss","DAU01205B21"
"LTE t4oss","DAU01206B11"
"LTE t4oss","DAU01206B21"
"LTE t4oss","DAU01206B31"
"LTE t4oss","DAU01210C11"
"LTE t4oss","DAU01210C21"
"LTE t4oss","DAU01210C31"
"LTE t4oss","DAU01211A11"
"LTE t4oss","DAU01211A21"
"LTE t4oss","DAU01211A31"
"LTE t4oss","DAU01212A11"
"LTE t4oss","DAU01212A21"
"LTE t4oss","DAU01212A31"
"LTE t4oss","DAU01213B11"
"LTE t4oss","DAU01213B21"
"LTE t4oss","DAU01213B31"
"LTE t4oss","DAU01214B11"
"LTE t4oss","DAU01214B21"
"LTE t4oss","DAU01214B31"
"LTE t4oss","DAU01216B11"
"LTE t4oss","DAU01216B21"
"LTE t4oss","DAU01216B31"
"LTE t4oss","DAU01217G11"
"LTE t4oss","DAU01217G21"
"LTE t4oss","DAU01217G31"
"LTE t4oss","DAU01217G41"
"LTE t4oss","DAU01218G11"
"LTE t4oss","DAU01218G21"
"LTE t4oss","DAU01218G31"
"LTE t4oss","DAU01219C11"
"LTE t4oss","DAU01219C21"
"LTE t4oss","DAU01219C31"
"LTE t4oss","DAU01220F11"
"LTE t4oss","DAU01220F21"
"LTE t4oss","DAU01220F31"
"LTE t4oss","DAU01221C11"
"LTE t4oss","DAU01221C21"
"LTE t4oss","DAU01221C31"
"LTE t4oss","DAU01222A11"
"LTE t4oss","DAU01222A21"
"LTE t4oss","DAU01222A31"
"LTE t4oss","DAU01223A11"
"LTE t4oss","DAU01223A21"
"LTE t4oss","DAU01223A31"
"LTE t4oss","DAU01224C11"
"LTE t4oss","DAU01224C21"
"LTE t4oss","DAU01224C31"
"LTE t4oss","DAU01226A11"
"LTE t4oss","DAU01226A21"
"LTE t4oss","DAU01226A31"
"LTE t4oss","DAU01227A11"
"LTE t4oss","DAU01227A21"
"LTE t4oss","DAU01227A31"
"LTE t4oss","DAU01227A41"
"LTE t4oss","DAU01230A11"
"LTE t4oss","DAU01230A21"
"LTE t4oss","DAU01230A31"
"LTE t4oss","DAU01231A11"
"LTE t4oss","DAU01231A21"
"LTE t4oss","DAU01231A31"
"LTE t4oss","DAU01232A11"
"LTE t4oss","DAU01232A21"
"LTE t4oss","DAU01232A31"
"LTE t4oss","DAU01233B11"
"LTE t4oss","DAU01233B21"
"LTE t4oss","DAU01233B31"
"LTE t4oss","DAU01236C11"
"LTE t4oss","DAU01236C21"
"LTE t4oss","DAU01236C31"
"LTE t4oss","DAU01240A11"
"LTE t4oss","DAU01240A21"
"LTE t4oss","DAU01240A31"
"LTE t4oss","DAU01241D11"
"LTE t4oss","DAU01241D21"
"LTE t4oss","DAU01241D31"
"LTE t4oss","DAU01243A11"
"LTE t4oss","DAU01243A21"
"LTE t4oss","DAU01243A31"
"LTE t4oss","DAU01243A41"
"LTE t4oss","DAU01245B11"
"LTE t4oss","DAU01245B21"
"LTE t4oss","DAU01245B31"
"LTE t4oss","DAU01246D11"
"LTE t4oss","DAU01246D21"
"LTE t4oss","DAU01246D31"
"LTE t4oss","DAU01247C11"
"LTE t4oss","DAU01247C21"
"LTE t4oss","DAU01247C31"
"LTE t4oss","DAU01248B11"
"LTE t4oss","DAU01248B21"
"LTE t4oss","DAU01248B31"
"LTE t4oss","DAU01249B11"
"LTE t4oss","DAU01249B21"
"LTE t4oss","DAU01249B31"
"LTE t4oss","DAU01251C11"
"LTE t4oss","DAU01251C21"
"LTE t4oss","DAU01251C31"
"LTE t4oss","DAU01252B11"
"LTE t4oss","DAU01252B21"
"LTE t4oss","DAU01252B31"
"LTE t4oss","DAU01253B11"
"LTE t4oss","DAU01253B21"
"LTE t4oss","DAU01253B31"
"LTE t4oss","DAU01254A11"
"LTE t4oss","DAU01254A21"
"LTE t4oss","DAU01254A31"
"LTE t4oss","DAU01255A11"
"LTE t4oss","DAU01255A21"
"LTE t4oss","DAU01255A31"
"LTE t4oss","DAU01256B11"
"LTE t4oss","DAU01256B21"
"LTE t4oss","DAU01256B31"
"LTE t4oss","DAU01260B11"
"LTE t4oss","DAU01260B21"
"LTE t4oss","DAU01260B31"
"LTE t4oss","DAU01260B41"
"LTE t4oss","DAU01263A11"
"LTE t4oss","DAU01263A21"
"LTE t4oss","DAU01263A31"
"LTE t4oss","DAU01265B11"
"LTE t4oss","DAU01265B21"
"LTE t4oss","DAU01265B31"
"LTE t4oss","DAU01267A11"
"LTE t4oss","DAU01267A21"
